system:index,construction_year,count,latitude,longitude,presence,zone,.geo
+1716364+643210,2020,6,28.890268694925865,77.0917782577438,0.22234375774860382,7371718658740361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0917782577438,28.890268694925865]}"
+1716365+643106,2020,21,28.8854808883461,77.09190017196093,0.713671863079071,7371727248674845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09190017196093,28.8854808883461]}"
+1716365+643190,2020,33,28.889190036043043,77.09174150848219,0.6782031059265137,7371718658740333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09174150848219,28.889190036043043]}"
+1716365+643197,2020,4,28.889673561050138,77.09183440244907,0.7162500023841858,7371722953707644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09183440244907,28.889673561050138]}"
+1716365+643215,2020,11,28.890478982367373,77.09177417449251,0.7159374952316284,7371714363773069,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09177417449251,28.890478982367373]}"
+1716366+643121,2020,48,28.885899701111747,77.09178761519468,0.58984375,7371705773838368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09178761519468,28.885899701111747]}"
+1716366+643153,2020,7,28.8876539557953,77.09194508772514,0.5162500143051147,7371740133576782,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09194508772514,28.8876539557953]}"
+1716366+643161,2020,7,28.888032531522185,77.09189375542319,0.518750011920929,7371735838609494,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09189375542319,28.888032531522185]}"
+1716366+643179,2020,7,28.888879514504357,77.09185525619672,0.7021093964576721,7371727248674922,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09185525619672,28.888879514504357]}"
+1716367+643109,2020,39,28.885543902037277,77.09219286479801,0.6884374618530273,7371765903380508,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09219286479801,28.885543902037277]}"
+1716367+643133,2020,14,28.88666580898277,77.09193546291853,0.599609375,7371731543642167,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09193546291853,28.88666580898277]}"
+1716367+643164,2020,1,28.888225027654496,77.09195792080062,0.5969531536102295,7371740133576796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09195792080062,28.888225027654496]}"
+1716367+643166,2020,8,28.888253100007123,77.09187370374273,0.6664062738418579,7371727248674907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09187370374273,28.888253100007123]}"
+1716367+643207,2020,42,28.890004547455415,77.09179429908816,0.6614843606948853,7371714363773055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09179429908816,28.890004547455415]}"
+1716369+643166,2020,2,28.888292401300802,77.09204775232904,0.560546875,7371748723511389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09204775232904,28.888292401300802]}"
+1716369+643199,2020,2,28.889797079401703,77.09202529444694,0.4440625011920929,7371744428544127,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09202529444694,28.889797079401703]}"
+1716370+643097,2020,4,28.885215671452695,77.09202529444694,0.6859375238418579,7371740133576729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09202529444694,28.885215671452695]}"
+1716370+643124,2020,12,28.886331079597145,77.0920964110736,0.6505469083786011,7371753018478640,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0920964110736,28.886331079597145]}"
+1716370+643136,2020,2,28.886944928374625,77.09209266809324,0.567578136920929,7371753018478655,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09209266809324,28.886944928374625]}"
+1716370+643183,2020,12,28.889011053528098,77.09201032252554,0.6481249928474426,7371740133576812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09201032252554,28.889011053528098]}"
+1716370+643194,2020,17,28.889474742740934,77.09200547866861,0.6291406154632568,7371744428544117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09200547866861,28.889474742740934]}"
+1716370+643203,2020,4,28.889954284576426,77.09207021021115,0.5735937356948853,7371748723511426,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09207021021115,28.889954284576426]}"
+1716371+643129,2020,4,28.88660806014308,77.09211512597535,0.5397655963897705,7371753018478647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09211512597535,28.88660806014308]}"
+1716371+643142,2020,6,28.887191965077758,77.09211512597535,0.6270312666893005,7371753018478660,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09211512597535,28.887191965077758]}"
+1716371+643154,2020,1,28.887775870012433,77.09213758385745,0.5502343773841858,7371757313445970,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09213758385745,28.887775870012433]}"
+1716371+643161,2020,1,28.888090280361876,77.09213758385745,0.4327343702316284,7371757313445977,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09213758385745,28.888090280361876]}"
+1716371+643170,2020,9,28.888464578396928,77.0920976587337,0.6980469226837158,7371757313445984,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0920976587337,28.888464578396928]}"
+1716371+643179,2020,3,28.88888379219618,77.09210764001465,0.7167187929153442,7371753018478698,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09210764001465,28.88888379219618]}"
+1716372+643097,2020,2,28.88519321357059,77.09218249962166,0.4675000011920929,7371761608413208,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09218249962166,28.88519321357059]}"
+1716372+643106,2020,1,28.885619913330547,77.09218249962166,0.696093738079071,7371761608413218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09218249962166,28.885619913330547]}"
+1716372+643149,2020,10,28.887506375427197,77.09212860070461,0.6952344179153442,7371753018478667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09212860070461,28.887506375427197]}"
+1716372+643165,2020,1,28.8882699434187,77.09218249962166,0.42531248927116394,7371761608413277,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09218249962166,28.8882699434187]}"
+1716372+643194,2020,3,28.88955752865927,77.09215255577885,0.6817968487739563,7371757313446009,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09215255577885,28.88955752865927]}"
+1716372+643195,2020,2,28.88961741634488,77.09216004173956,0.6817968487739563,7371757313446011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09216004173956,28.88961741634488]}"
